"id";"post_history_type_id";"post_id";"user_id";"text";"creation_date"
1;1;2001;1001;"Initial post creation";"2024-01-01"
2;2;2002;1002;"Edited post for clarity";"2024-01-05"
3;3;2003;1003;"Comment added by moderator";"2024-01-10"
4;1;2004;1001;"First version of the post";"2024-01-15"
5;2;2005;1004;"Reworded answer";"2024-01-20"
6;3;2001;1002;"User updated answer with additional info";"2024-01-25"
7;1;2003;1003;"Post originally created";"2024-02-01"
8;3;2004;1001;"Moderators edited content";"2024-02-05"
9;2;2005;1004;"User revised explanation";"2024-02-10"
10;3;2006;1002;"Moderators flagged inappropriate content";"2024-02-15"
